APURCH,unique,age,gendf,gendm,pcode,atmcrd,paydep,DUMNOCHQ,BALCHQ,DUMNOSAV,BALSAV,TOTDEP,DUMNOLOAN,BALLOAN,DUMNOLOC,BALLOC,DUMNOMRGG,BALMRGG,NEWLOC,NEWMRGG,TXBRAN,TXATM,TXPOS,TXCHQ,TXWEB,TXTEL,TOTSERV,CHNMSERV,CHNMPRD,valsegm,NINDINC1,numrr1,avginc1,avginv1
N,7,36,1,0,V4P3E7,0,0,0,0,1,0,402.3883333,1,0,0,227095.2733,0,111155.77,0,0,6.083333333,0,0,11.75,0.333333333,0,3,0,0,A,680,320,44333.82353,6089.473684
Y,9,30,1,0,V5Z2X3,0,0,1,0,0,1343.2575,3706.03,1,0,1,0,1,0,0,0,0.25,0,0,0,0,0,3,0,0,D,630,320,35792.06349,3770.588235
Y,14,40,0,1,V3K5N2,1,0,0,248.3758333,1,0,299.4408333,1,0,0,7627.116667,1,0,0,0,2.333333333,5.083333333,0,0.5,0,0,3,0,1,D,670,310,32479.10448,3218.918919
Y,29,36,1,0,V5G4B6,1,1,0,344.775,1,0,404.5641667,0,11149.15583,1,0,1,0,0,0,1.75,23.5,8.833333333,6,0,0,3,0,-1,D,820,410,37417.07317,1836.363636
N,32,37,0,1,V5P4B5,1,0,0,0.294166667,1,0,11.76166667,1,0,0,26088.07417,0,185341.53,0,0,2.333333333,0,0,3.416666667,0,0,3.9,1,0,C,850,370,25721.17647,3316.41791
N,40,51,0,1,V3T5H6,1,0,0,4899.188333,1,0,5025.448333,0,959.7966667,0,3023.868333,0,190930.82,0,0,1.916666667,3.5,7.583333333,4.25,7.333333333,0,3.1,-1,-2,A,680,290,26948.52941,2704.347826
Y,50,57,1,0,V6R1H1,1,1,0,6551.754167,0,0,25777.775,1,0,1,0,1,0,0,0,1.583333333,0.666666667,0,1.916666667,0,0,4,0,1,D,480,240,46183.33333,9215.151515
N,51,58,0,1,V6R1H1,1,0,0,2657.053333,0,12,45863.7825,1,0,1,0,0,13218.865,0,0,9.916666667,0.083333333,0,3,1.166666667,0.083333333,5,0,0,C,480,240,46183.33333,9215.151515
Y,62,23,0,1,V5A4B7,1,1,0,939.92,0,300.76125,1191.1175,0,8720.403333,1,0,1,0,0,0,15.5,1.833333333,39.33333333,1.416666667,1.75,0,3.6,1,2,D,920,380,32379.34783,1550
Y,64,54,1,0,V3W6E3,1,0,1,0,0,759.2958333,815.3533333,1,0,1,0,1,0,0,0,2,2.583333333,12.08333333,0,0,0,2,0,0,D,880,260,23784.09091,1320
N,65,69,0,1,V6P1W9,1,0,0,89485.27333,0,0,649947.005,1,0,0,6186.895833,1,0,0,0,19.33333333,0,0,15.5,0,0,7,0,-1,C,580,150,41937.93103,8627.586207
Y,82,40,0,1,V5V1J5,1,1,0,1708.08,1,0,1771.47,0,13925.79333,1,0,1,0,0,0,1.583333333,22.75,45.41666667,1.5,0,0,3,0,0,C,790,370,28436.70886,2781.395349
Y,84,39,0,1,V3J1B7,1,1,0,528.6883333,1,0,1065.8825,0,24439.56,1,0,1,0,0,0,1.833333333,3.583333333,14.16666667,3.833333333,0.25,0,2.5,0,-2,D,760,350,32076.31579,2112.121212
N,85,38,1,0,V3B6E7,1,1,0,268.6883333,0,195.1566667,1285.765,0,7763.1075,1,0,1,0,0,0,6.25,8.5,41.5,0.75,15.41666667,0,4.7,-1,-2,D,900,330,28360,1087.878788
Y,88,46,1,0,V5K2J4,1,0,0,1052.0875,1,0,206104.015,1,0,0,706.1858333,1,0,0,0,1.666666667,5.666666667,1.583333333,7.5,0,0,4,0,0,D,1040,440,24507.69231,2857.352941
